[Mon Jul 16 13:25:27.122176 2018] [proxy_fcgi:error] [pid 595:tid 139794910787328] (22)Invalid argument: [client 172.17.0.1:57528] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:25:27.135964 2018] [proxy_fcgi:error] [pid 595:tid 139794885609216] [client 172.17.0.1:57548] AH01068: Got bogus version 97, referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:25:27.136081 2018] [proxy_fcgi:error] [pid 595:tid 139794885609216] (22)Invalid argument: [client 172.17.0.1:57548] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 13:32:06.204484 2018] [proxy_fcgi:error] [pid 595:tid 139794852038400] [client 172.17.0.1:58112] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2F
[Mon Jul 16 13:32:06.204623 2018] [proxy_fcgi:error] [pid 595:tid 139794852038400] (22)Invalid argument: [client 172.17.0.1:58112] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2F
[Mon Jul 16 15:04:37.967765 2018] [proxy_fcgi:error] [pid 595:tid 139795023849216] [client 172.17.0.1:60194] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 15:04:37.968001 2018] [proxy_fcgi:error] [pid 595:tid 139795023849216] (22)Invalid argument: [client 172.17.0.1:60194] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php
[Mon Jul 16 16:58:01.842021 2018] [proxy_fcgi:error] [pid 595:tid 139794759718656] [client 172.17.0.1:32826] AH01068: Got bogus version 101, referer: http://wpdevcourse1.local/wp-admin/post.php?post=2&action=edit
[Mon Jul 16 16:58:01.842326 2018] [proxy_fcgi:error] [pid 595:tid 139794759718656] (22)Invalid argument: [client 172.17.0.1:32826] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/post.php?post=2&action=edit
[Mon Jul 16 17:01:32.436454 2018] [proxy_fcgi:error] [pid 595:tid 139794826860288] [client 172.17.0.1:33296] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2F
[Mon Jul 16 17:01:32.436573 2018] [proxy_fcgi:error] [pid 595:tid 139794826860288] (22)Invalid argument: [client 172.17.0.1:33296] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2F
[Mon Jul 16 17:04:08.796803 2018] [proxy_fcgi:error] [pid 596:tid 139794776504064] [client 172.17.0.1:33514] AH01068: Got bogus version 46, referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2Fprotfolio%2F
[Mon Jul 16 17:04:08.796936 2018] [proxy_fcgi:error] [pid 596:tid 139794776504064] (22)Invalid argument: [client 172.17.0.1:33514] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://wpdevcourse1.local/wp-admin/customize.php?url=http%3A%2F%2Fwpdevcourse1.local%2Fprotfolio%2F
